Board Game Rank,Game_Id,Title,Description,AvgRating,Thumbnail,thumbnail,image,yearpublished,minplayers,maxplayers,playingtime,minage,boardgamecategory,boardgamedesigner,boardgamepublisher,averageweight,description_detail,category_bert
176,34635,Stone Age,Prehistoric tribes struggle to survive and adapt. Which one will rise to the top?,7.52,https://cf.geekdo-images.com/elmZegVZ6gp4_5izUgxGQQ__micro/img/GBNMM8kmp6Dlnel0EG4HN7lDTwo=/fit-in/64x64/filters:strip_icc()/pic1632539.jpg,https://cf.geekdo-images.com/elmZegVZ6gp4_5izUgxGQQ__thumb/img/MXq3DEKWIozO-PmB4S64BiE5fd0=/fit-in/200x150/filters:strip_icc()/pic1632539.jpg,https://cf.geekdo-images.com/elmZegVZ6gp4_5izUgxGQQ__original/img/cR92Dm6yQ3Lgxt1yR81zUb0ooqQ=/0x0/filters:format(jpeg)/pic1632539.jpg,2008,2,4,90,10,"['Dice', 'Economic', 'Prehistoric']",['Bernd Brunnhofer'],Hans im Glück,2.4601,"The ""Stone Age"" times were hard indeed. In their roles as hunters, collectors, farmers, and tool makers, our ancestors worked with their legs and backs straining against wooden plows in the stony earth. Of course, progress did not stop with the wooden plow. People always searched for better tools and more productive plants to make their work more effective.
In Stone Age, the players live in this time, just as our ancestors did. They collect wood, break stone and wash their gold from the river. They trade freely, expand their village and so achieve new levels of civilization. With a balance of luck and planning, the players compete for food in this pre-historic time.
Players use up to ten tribe members each in three phases. In the first phase, players take turns placing their tribe members in regions of the board that they think will benefit them, including the hunt, the trading center, or the quarry. In the second phase, each player activates each of their staffed areas in whatever sequence they choose, in turn order. In the third phase, players must have enough food available to feed their populations, or they face losing resources or points.",['adventure']
178,127023,Kemet,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,7.64,https://cf.geekdo-images.com/RmZjhy7_6REp8IaXh9Zqwg__micro/img/JhmgQqmj1m5K7EKHBExVgFHKUf4=/fit-in/64x64/filters:strip_icc()/pic3979527.jpg,https://cf.geekdo-images.com/RmZjhy7_6REp8IaXh9Zqwg__thumb/img/930_NppLsnIGUDG_W6wkdOGgKR8=/fit-in/200x150/filters:strip_icc()/pic3979527.jpg,https://cf.geekdo-images.com/RmZjhy7_6REp8IaXh9Zqwg__original/img/kRFfkVnQRsBDcbO46TKS6PcT6aE=/0x0/filters:format(jpeg)/pic3979527.jpg,2012,2,5,120,13,"['Ancient', 'Fantasy', 'Miniatures', 'Mythology', 'Wargame']","['Jacques Bariot', 'Guillaume Montiage']",Matagot,2.9973,"In Kemet, players each deploy the troops of an Egyptian tribe and use the mystical powers of the gods of ancient Egypt ??along with their powerful armies ??to score points in glorious battles or through invasion of rich territories. A game is typically played to 8 or 10 victory points, which may be accrued through winning attacks, controlling temples, controlling fully-developed pyramids, sacrificing to the gods, and wielding particular magical powers.
The conquest for the land of Kemet takes place over two phases: Day and Night. During the day, choose an action amongst the nine possible choices provided by your player mat and perform it immediately. Once every player has taken five actions, night falls, with players gathering Prayer Points from their temples, drawing Divine Intervention cards, and determining the turn order before the start of the new day.
As the game progresses, they can use Prayer Points to acquire power tiles. Some of these enroll magical creatures and have them join their troops. In addition to intimidating enemies, these creatures provide special powers!
Detailed miniature components represent the combat units and the supernatural creatures that are summoned to enhance them. Combat is resolved through cards chosen from a diminishing six-card hand and enhanced by bonuses.
Play By Forum","['strategy', 'role playing']"
179,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,The game is afoot as you and your irregular friends search Victorian London for clues,7.62,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__micro/img/oG1Tt-dugnxtcq2xclh1AcrjG6s=/fit-in/64x64/filters:strip_icc()/pic3514298.jpg,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__thumb/img/TKoDj4fKzLa_m45TCQeDGcBf63o=/fit-in/200x150/filters:strip_icc()/pic3514298.jpg,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__original/img/iu21NR45DwHyFY-UPW0m7hwY_vw=/0x0/filters:format(jpeg)/pic3514298.jpg,1982,1,8,120,13,"['Deduction', 'Murder / Mystery', 'Novel-based', 'Post-Napoleonic', 'Spies / Secret Agents']","['Raymond Edwards', 'Suzanne Goldberg', 'Gary Grady']",Sleuth Publications,2.6623,"Have you ever had the desire to walk the streets of Victorian London with Sherlock Holmes in search of Professor Moriarty? To search the docks for the giant rat of Sumatra? To walk up Baker Street as the fog is rolling in and hear Holmes cry out, ""Come, Watson, come! The game is afoot!""? Now you can! You can enter the opium den beneath the Bar of Gold, but beware, that may be Colonel Sebastian Moran lurking around the corner. You can capture the mystery and excitement of Holmes' London in this challenging and informative game. You, the player, will match your deductive abilities against your opponents and the master sleuth himself, Sherlock Holmes.
In Sherlock Holmes Consulting Detective, you are presented with a mystery to solve, and it is then up to you to trace the threads of evidence through the byways and mansions of nineteenth century London. You will interview suspects, search the newspapers for clues, and put together the facts to reach a solution.
Why were two lions murdered in Hyde Park? Who is responsible for the missing paintings from the National Gallery? Who murdered Oswald Mason and why? These are just a few of the cases that will challenge your ingenuity and deductive abilities.
This is not a board game: No dice, no luck, but a challenge to your mental ability. The game has been thoroughly researched for Holmesian and Victorian accuracy so as to capture a feeling of that bygone era.",['role playing']
180,233398,Endeavor: Age of Sail,"Spread your glory over the vast, as of yet unexplored world in this updated classic.",7.87,https://cf.geekdo-images.com/YXYqQZ05gC9kNlgX7cbR8g__micro/img/FZknsH2ient62gEp08AkzXB1jrk=/fit-in/64x64/filters:strip_icc()/pic3913274.jpg,https://cf.geekdo-images.com/YXYqQZ05gC9kNlgX7cbR8g__thumb/img/tnCicYCs55D8rwF0RKFaBdXjb44=/fit-in/200x150/filters:strip_icc()/pic3913274.jpg,https://cf.geekdo-images.com/YXYqQZ05gC9kNlgX7cbR8g__original/img/D4TCl_FNsC867ww_NNj4VmVUBr0=/0x0/filters:format(jpeg)/pic3913274.jpg,2018,2,5,90,13,"['Exploration', 'Nautical', 'Renaissance']","['Carl de Visser', 'Jarratt Gray']",Burnt Island Games,2.8413,"In Endeavor: Age of Sail, players strive to earn glory for their empires. Sailing out from Europe and the Mediterranean, players will establish shipping routes and occupy cities the world over. As they do so, players will leverage their growing industry, culture, finance, and Influence, building their engine and extending their reach into the far-flung regions of the world.
In this second edition, players will experience:
Double-sided board to accommodate different player counts
Variable starting set ups with new buildings
Exploits to enhance the mechanisms and story of the different regions
Updated visuals by the original artist and graphic designer, Josh Cappel
?�description from the publisher",['adventure']
181,328871,Terraforming Mars: Ares Expedition,"Return to Mars and terraform it once again, this time using only cards.",7.65,https://cf.geekdo-images.com/eT_Atcy_vRJvuUMgYakNrQ__micro/img/UXqVq6URJBugEx8vhYEmlNr5U7U=/fit-in/64x64/filters:strip_icc()/pic6260098.jpg,https://cf.geekdo-images.com/eT_Atcy_vRJvuUMgYakNrQ__thumb/img/YxoNRQg9owsoi68POaMY0Ix31ZI=/fit-in/200x150/filters:strip_icc()/pic6260098.jpg,https://cf.geekdo-images.com/eT_Atcy_vRJvuUMgYakNrQ__original/img/upZwrb6k8zZMNTwB8VfpI372yuo=/0x0/filters:format(jpeg)/pic6260098.jpg,2021,1,4,60,14,"['Card Game', 'Science Fiction', 'Space Exploration']","['Sydney Engelstein', 'Jacob Fryxelius', 'Nick Little (I)']",FryxGames,2.9185,"Terraforming Mars: Ares Expedition is an engine-building game in which players control interplanetary corporations with the goal of making Mars habitable (and profitable). You will do this by investing mega credits (MC) into project cards that will directly or indirectly contribute to the terraforming process. In order to win, you will want to accumulate a high terraform rating (TR) and as many victory points (VP) as you can. Players raise their TR by increasing global parameters: oceans, oxygen, and temperature. TR also determines each corporation's basic income, and, at the end of the game TR counts as VP. Additional VP and production capabilities are awarded for building project cards and other actions taken during the game.
The game is played in rounds, and each round the players will choose one of five phases, which determines which activities will take place during that round. This means every round is different, but can consist of building new project cards, taking general and project-specific actions, producing income and resources (plants and heat), or researching to draw more project cards. Every player will take all the phases selected for the round, and will receive a special bonus during the phase that they selected. To speed up the game, within each phase, players can act simultaneously without waiting for each other!
The game board has tracks for oxygen, temperature, and terraform rating, as well as a place for all of the ocean tiles that will be flipped over the course of the game. The game ends when there is enough oxygen to breath (14%), oceans enough to allow Earth-like weather (9), and the temperature is well above freezing (+8°C). It will then be possible, if not comfortable, to live on the surface of Mars!",['strategy']
182,249259,War Chest,"Recruit, bolster and maneuver your way to controlling the hex-grid battlefield.",7.84,https://cf.geekdo-images.com/BryJNSSDbCohXeaJPx3tpw__micro/img/fqFw8SPfaDeem2tDIJZgKaOJzhA=/fit-in/64x64/filters:strip_icc()/pic4232048.png,https://cf.geekdo-images.com/BryJNSSDbCohXeaJPx3tpw__thumb/img/5fmJlAM307xX3zozMnStTuWYphI=/fit-in/200x150/filters:strip_icc()/pic4232048.png,https://cf.geekdo-images.com/BryJNSSDbCohXeaJPx3tpw__original/img/pgmg83e1lUqNo7FTLdscWNDwlPE=/0x0/filters:format(png)/pic4232048.png,2018,2,4,30,14,"['Abstract Strategy', 'Medieval', 'Wargame']","['Trevor Benjamin', 'David Thompson (I)']",Alderac Entertainment Group,2.3053,"War Chest is an all-new bag-building war game! At the start of the game, raise your banner call (drafting) several various units into your army, which you then use to capture key points on the board. To succeed in War Chest, you must successfully manage not only your armies on the battlefield, but those that are waiting to be deployed.
Each round you draw three unit coins from your bag, then take turns using them to perform actions. Each coin shows a military unit on one side and can be used for one of several actions. The game ends when one player ??or one team in the case of a four-player game ??has placed all of their control markers. That player or team wins!
?�description from the publisher","['strategy', 'war']"
183,296151,Viscounts of the West Kingdom,Travel the Kingdom seeking upgrades in an attempt to bring poverty or prosperity.,7.82,https://cf.geekdo-images.com/kMgSC_kRlJWt3KLj5y0BxQ__micro/img/l2onqayLE2q8yx6KlE44hagURks=/fit-in/64x64/filters:strip_icc()/pic5230695.png,https://cf.geekdo-images.com/kMgSC_kRlJWt3KLj5y0BxQ__thumb/img/2uNYQn2vHuNGrx5-dxc1h7Mh7Do=/fit-in/200x150/filters:strip_icc()/pic5230695.png,https://cf.geekdo-images.com/kMgSC_kRlJWt3KLj5y0BxQ__original/img/t9ccf6x3PQiL5Cqn4-mePKUNC-E=/0x0/filters:format(png)/pic5230695.png,2020,1,4,90,12,['Medieval'],"['S J Macdonald', 'Shem Phillips']",Garphill Games,3.4537,"Viscounts of the West Kingdom is set at a time when the King?�s reign began to decline, circa 980 AD. Choosing peace over prosperity, our once strong King began offering our enemies gold and land to lay down their axes. But peace is a tenuous affair. As poverty spread, many people lost faith in his ability to lead and sought independence from the crown. Since finding favour in his courts, our future has also become uncertain. As viscounts, we must be wise and decisive. Loyalty is to be upheld, but gaining favour among the people must be our priority, should there be a sudden shift in power.
The aim of Viscounts of the West Kingdom is to be the player with the most victory points (VP) at game's end. Points are gained by constructing buildings, writing manuscripts, working in the castle and acquiring deeds for new land. Players begin with a handful of townsfolk, but should quickly seek out more suitable talents to advance their endeavours. Each turn they will be travelling around the kingdom, looking to increase their influence among the various areas of society. The game ends once the Kingdom reaches poverty or prosperity - or potentially both!
?�description from the publisher","['strategy', 'role playing']"
184,148949,Istanbul,Send your assistants through the shops of Istanbul as you race to acquire rubies.,7.54,https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__micro/img/m-r0Enm97qaLW82OqcE9DSPasNc=/fit-in/64x64/filters:strip_icc()/pic1885326.jpg,https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__thumb/img/Vzpg3sdeAbCy0IxSAoh1aH9nvDE=/fit-in/200x150/filters:strip_icc()/pic1885326.jpg,https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__original/img/pHIJibqf-DmlOQD3CfT_rAjGmc0=/0x0/filters:format(jpeg)/pic1885326.jpg,2014,2,5,60,10,['Economic'],['Rüdiger Dorn'],Pegasus Spiele,2.5817,"There's hustle and bustle at Istanbul's grand bazaar as merchants and their assistants rush through the narrow alleys in their attempt to be more successful than their competitors. Everything must be well organized: wheelbarrows must be filled with goods at the warehouses, then swiftly transported by the assistants to various destinations. Your goal? Be the first merchant to collect a certain number of rubies.
In Istanbul, you lead a group of one merchant and four assistants through 16 locations in the bazaar. At each such location, you can carry out a specific action. The challenge, though, is that to take an action, you must move your merchant and an assistant there, then leave the assistant behind (to handle all the details while you focus on larger matters). If you want to use that assistant again later, your merchant must return to that location to pick him up. Thus, you must plan ahead carefully to avoid being left with no assistants and thus unable to do anything...
In more detail, on a turn you move your merchant and his retinue of assistants one or two steps through the bazaar, either leave an assistant at that location or collect an assistant left earlier, then perform the action. If you meet other merchants or certain individuals at the location, you might be able to take a small extra action. Possible actions include:
Paying to increase your wheelbarrow capacity, which starts the game with a capacity of only two for each good.",['strategy']
185,146652,Legendary Encounters: An Alien Deck Building Game,"In space, no one can hear you build a deck of marine & weapon cards to fight aliens.",7.75,https://cf.geekdo-images.com/jSz_KRUxsjGYitoqx9YH1Q__micro/img/t589A9KaC7S6E4LN61DKRFw4T-k=/fit-in/64x64/filters:strip_icc()/pic2225180.jpg,https://cf.geekdo-images.com/jSz_KRUxsjGYitoqx9YH1Q__thumb/img/AT5BHzGvyKq2w84Cw97JX3tDy-I=/fit-in/200x150/filters:strip_icc()/pic2225180.jpg,https://cf.geekdo-images.com/jSz_KRUxsjGYitoqx9YH1Q__original/img/nrvJtT-4tYTD0fp3Cr57SKpfMfw=/0x0/filters:format(jpeg)/pic2225180.jpg,2014,1,5,60,17,"['Card Game', 'Fighting', 'Horror', 'Movies / TV / Radio theme', 'Science Fiction']","['Ben Cichoski', 'Daniel Mandel']",Upper Deck Entertainment,2.7053,"Legendary Encounters: An Alien Deck Building Game, based on the four movies of the Alien series, is a fully cooperative game with original art. While based on the Marvel superheroes version of Legendary, the two games will be compatible but cannot be fully integrated.
Legendary Encounters is a deck-building game in the same family as Legendary: A Marvel Deck Building Game, but now players must cooperate in order to survive against hordes of aliens. Taking on the role of protagonists such as Ripley, Dallas, Bishop and Corporal Hicks, players take turns recruiting cards for their deck from a central selection in order to improve their deck and defeat Xenomorph cards that are added to the central game board.
Product Breakdown:
> 600 total Original Art Card Set
> Full Color Game Board (mat)
> Full Color Rule Book
> Card inserts for easy organization
> Customize your card organization with removable foam inserts",['adventure']
186,209418,Dominion (Second Edition),Acquire cards to grow your kingdom's influence in this classic deck-building game.,7.83,https://cf.geekdo-images.com/4dmyKfqQm_uxA1-chh4JeQ__micro/img/30Z5fqm3-dLTz1eWj_G9NN2Z43I=/fit-in/64x64/filters:strip_icc()/pic3187001.jpg,https://cf.geekdo-images.com/4dmyKfqQm_uxA1-chh4JeQ__thumb/img/Td5CxjO0ZTIbwHNhk2ETEy1qYyg=/fit-in/200x150/filters:strip_icc()/pic3187001.jpg,https://cf.geekdo-images.com/4dmyKfqQm_uxA1-chh4JeQ__original/img/5UxDHPldIiCb0uovIwzngR-jx5M=/0x0/filters:format(jpeg)/pic3187001.jpg,2016,2,4,30,14,"['Card Game', 'Medieval']",['Donald X. Vaccarino'],Rio Grande Games,2.1784,"""You are a monarch, like your parents before you, a ruler of a small pleasant kingdom of rivers and evergreens. Unlike your parents, however, you have hopes and dreams! You want a bigger and more pleasant kingdom, with more rivers and a wider variety of trees. You want a Dominion! In all directions lie fiefs, freeholds, and feodums. All are small bits of land, controlled by petty lords and verging on anarchy. You will bring civilization to these people, uniting them under your banner.
""But wait! It must be something in the air; several other monarchs have had the exact same idea. You must race to get as much of the unclaimed land as possible, fending them off along the way. To do this you will hire minions, construct buildings, spruce up your castle, and fill the coffers of your treasury. Your parents wouldn't be proud, but your grandparents, on your mother's side, would be delighted.'""'
In Dominion, each player starts with an identical, very small deck of cards. In the center of the table is a selection of other cards the players can ""buy"" as they can afford them. Through their selection of cards to buy and how they play their hands as they draw them, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.",['economy']
187,265188,Glen More II: Chronicles,"Expand your Scottish clan by trading livestock, making whisky and gaining landmarks.",7.89,https://cf.geekdo-images.com/sMRuph3HFUcaSpJZihGZKw__micro/img/b7d2RxKC4Rzxi6YD-aao6mvh_40=/fit-in/64x64/filters:strip_icc()/pic5841874.jpg,https://cf.geekdo-images.com/sMRuph3HFUcaSpJZihGZKw__thumb/img/UHuDcnjAwCiXbNfjuY26-EEnG2M=/fit-in/200x150/filters:strip_icc()/pic5841874.jpg,https://cf.geekdo-images.com/sMRuph3HFUcaSpJZihGZKw__original/img/ehoqoTirtFb5p9Wk2SwWV8nr6ZU=/0x0/filters:format(jpeg)/pic5841874.jpg,2019,2,4,120,12,"['City Building', 'Economic', 'Farming', 'Territory Building']",['Matthias Cramer'],Funtails,3.0097,"Glen More II: Chronicles is a sequel to Glen More, expanding the gameplay substantially compared to the original game.
In Glen More II: Chronicles, each player represents the leader of a Scottish clan from the early medieval ages until the 19th century, a leader looking to expand their territory and wealth. The success of your clan depends on your ability to make the right decision at the right time, be it by creating a new pasture for your livestock, growing barley for whisky production, selling your goods on the various markets, or gaining control of special landmarks such as lochs and castles.
The game lasts four rounds, represented by four stacks of tiles. After each round, a scoring phase takes place in which players compare their number of whisky casks, scotsmen in the home castle, landmark cards, and persons against the player with the fewest items in each category and receives victory points (VPs) based on the relative difference. After four rounds, additional VPs are awarded for gold coins and some landmarks while VP penalties are assessed based on territory size, comparing each player's territory to the smallest one in play.
The core mechanism of Glen More II: Chronicles and Glen More functions the same way: The last player in line takes a tile from a time track, advancing as far as they wish on this track. After paying the cost, they place this tile in their territory, with this tile activating itself and all neighboring tiles, triggering the production of resources, movement points, VPs, etc. Then the player who is last in line takes their turn.",['role playing']
188,103885,Star Wars: X-Wing Miniatures Game,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,7.63,https://cf.geekdo-images.com/yNqgVxaqoZepir7Hzkfe-Q__micro/img/OKIS12HYfJvGuTjHdv1I1aqn2SI=/fit-in/64x64/filters:strip_icc()/pic1603292.jpg,https://cf.geekdo-images.com/yNqgVxaqoZepir7Hzkfe-Q__thumb/img/idalbLcUm2q9yxVZzRDkLEax5AE=/fit-in/200x150/filters:strip_icc()/pic1603292.jpg,https://cf.geekdo-images.com/yNqgVxaqoZepir7Hzkfe-Q__original/img/H6rYWOhYjT_PXTrvHKyX6FEt-vw=/0x0/filters:format(jpeg)/pic1603292.jpg,2012,2,2,45,14,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",['Jay Little'],Fantasy Flight Games,2.4965,"Star Wars: X-Wing Miniatures Game is a tactical ship-to-ship combat game in which players take control of powerful Rebel X-wings and nimble Imperial TIE fighters, facing them against each other in fast-paced space combat. Featuring stunningly detailed and painted miniatures, the X-Wing Miniatures Game recreates exciting Star Wars space combat throughout its several included scenarios. Select your crew, plan your maneuvers, and complete your mission!
Whatever your chosen vessel, the rules of X-Wing facilitate fast and visceral gameplay that puts you in the middle of Star Wars fiercest firefights. Each ship type has its own unique piloting dial, which is used to secretly select a speed and maneuver each turn. After planning maneuvers, each ship's dial is revealed and executed (starting with the lowest skilled pilot). So whether you rush headlong toward your enemy showering his forward deflectors in laser fire, or dance away from him as you attempt to acquire a targeting lock, you'll be in total control throughout all the tense dogfighting action.
Star Wars: X-Wing features (three) unique missions, and each has its own set of victory conditions and special rules; with such a broad selection of missions, only clever and versatile pilots employing a range of tactics will emerge victorious. What's more, no mission will ever play the same way twice, thanks to a range of customization options, varied maneuvers, and possible combat outcomes. Damage, for example, is determined through dice and applied in the form of a shuffled Damage Deck. For some hits your fighter sustains, you'll draw a card that assigns a special handicap. Was your targeting computer damaged, affecting your ability to acquire a lock on the enemy? Perhaps an ill-timed weapon malfunction will limit your offensive capabilities. Or worse yet, your pilot could be injured, compromising his ability to focus on the life-and-death struggle in which he is engaged...",['strategy']
189,283948,Marco Polo II: In the Service of the Khan,"Travel to cities along the silk road, trading silk, spice, gold & jade along the way.",7.94,https://cf.geekdo-images.com/rc7CQ5l95ZFoKq3iBVqjgg__micro/img/_tCcW0G7YOS5N3JnlvWor-b7lBs=/fit-in/64x64/filters:strip_icc()/pic5543526.jpg,https://cf.geekdo-images.com/rc7CQ5l95ZFoKq3iBVqjgg__thumb/img/3W5hTyRw8ABDkasT1mFSAf4f30w=/fit-in/200x150/filters:strip_icc()/pic5543526.jpg,https://cf.geekdo-images.com/rc7CQ5l95ZFoKq3iBVqjgg__original/img/3EH__HLlmY7adABsY_HUtAlEMfo=/0x0/filters:format(jpeg)/pic5543526.jpg,2019,2,4,120,12,"['Dice', 'Economic', 'Medieval', 'Travel']","['Simone Luciani', 'Daniele Tascini']",Hans im Glück,3.368,"The journeys of Marco Polo continue in Marco Polo II: In the Service of the Khan, an epic follow-up to The Voyages of Marco Polo. After traveling to Beijing, your travels now take you back to the West in the service of the Khan, sending you to the farthest reaches of his empire in search of wealth and fame.
Marco Polo II is a standalone game based on The Voyages of Marco Polo, and you don't need the original game to play this one. This new journey will present unique challenges, with new and different actions, new scoring rules, and a new good: rare and valuable Chinese jade.
Retread old paths with renewed purpose, or find new ones as you explore farther west, continuing to build the immortal legacy of Marco Polo!
?�description from the publisher",['economy']
190,294484,Unmatched: Cobble & Fog,Heroes from Victorian-era literature join a skirmish to the death.,7.96,https://cf.geekdo-images.com/iyIO6udRfIn0xM1rIxyO2g__micro/img/lPLxfHQhT7cbj28qtOG3OlJJ6mo=/fit-in/64x64/filters:strip_icc()/pic5056685.jpg,https://cf.geekdo-images.com/iyIO6udRfIn0xM1rIxyO2g__thumb/img/oKVEm_nmurLwHbp9QPNNEyJkzeE=/fit-in/200x150/filters:strip_icc()/pic5056685.jpg,https://cf.geekdo-images.com/iyIO6udRfIn0xM1rIxyO2g__original/img/PZBFIDjPGZddto7n5F5gP_2slUA=/0x0/filters:format(jpeg)/pic5056685.jpg,2020,2,4,40,9,"['Card Game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']","['Rob Daviau', 'Justin D. Jacobson', 'Chris Leder', 'Kevin Rodgers']",Mondo Games,1.9667,"In battle, there are no equals.
Unmatched: Cobble & Fog features four new heroes for the Unmatched system. Invisible Man uses fog to dart around the board and strike without warning. Sherlock, with the trusty Watson by his side, schemes and calculates to ensure victory. Dracula and the sisters slowly drain you of your power. Jekyll & Hyde uses the former's cunning and the latter's brute strength to win the day.
Unmatched is a highly asymmetrical miniature fighting game for two or four players. Each hero is represented by a unique deck designed to evoke their style and legend. Tactical movement and no-luck combat resolution create a unique play experience that rewards expertise, but just when you've mastered one set, new heroes arrive to provide all new match-ups.
?�description from the publisher",['role playing']
191,244522,That's Pretty Clever!,"Draft dice to mark numbers on your scoresheet, comboing bonuses to power your points.",7.56,https://cf.geekdo-images.com/u1EZSUC5n8k4g4OFPkn3ow__micro/img/p2TRELrPcHzS0UGIHnmeWBXuQFk=/fit-in/64x64/filters:strip_icc()/pic8014078.jpg,https://cf.geekdo-images.com/u1EZSUC5n8k4g4OFPkn3ow__thumb/img/mOfaidSnvnq2gHEQuAsYTLyIQQQ=/fit-in/200x150/filters:strip_icc()/pic8014078.jpg,https://cf.geekdo-images.com/u1EZSUC5n8k4g4OFPkn3ow__original/img/e4QJiofBkd18ZffIURPyqNWrhxk=/0x0/filters:format(jpeg)/pic8014078.jpg,2018,1,4,30,8,"['Dice', 'Number']",['Wolfgang Warsch'],Schmidt Spiele,1.8655,"Choose your dice cleverly in Ganz schön clever (German for ""That's Pretty Clever"") to enter them into the matching colored areas on your score sheet, putting together tricky chain-scoring opportunities, and racking up the points! The dice you don't use are as important as those you do, because every die with a lower value than the chosen one can be used by the other players, keeping everyone in the game at all times.",['strategy']
192,329082,Radlands,Post-apocalyptic bands of punks fight to destroy the rival tribe's camps.,7.8,https://cf.geekdo-images.com/YpQUtpxNtDHBF5eVcwzBtQ__micro/img/v_TmZbg7Vk25dtb67Ysyls642Ns=/fit-in/64x64/filters:strip_icc()/pic6478338.png,https://cf.geekdo-images.com/YpQUtpxNtDHBF5eVcwzBtQ__thumb/img/tN06HL-O6O-ayKHxEio9xYoJym0=/fit-in/200x150/filters:strip_icc()/pic6478338.png,https://cf.geekdo-images.com/YpQUtpxNtDHBF5eVcwzBtQ__original/img/br-kw0KuyBfH1mrxZ0kgVrF9UMc=/0x0/filters:format(png)/pic6478338.png,2021,2,2,40,14,"['Card Game', 'Fighting', 'Science Fiction']",['Daniel Piechnick'],Roxley,2.2679,"Radlands is a competitive, dueling card game about identifying fiercely powerful card synergies.
Act as the leader of your post apocalyptic group of survivors in a tooth-and-nail fight to protect your three camps from a vicious rival tribe. If all of them are destroyed, you lose the game.
The main resource in the game is water. You will spend it to play people and events, and to use the abilities of cards you already have on the table. People protect your camps and provide useful abilities, while events are powerful effects that take time to pay off.
Both players draw cards from the same deck. All cards can either be played to the table or discarded for quick ?�junk??effects. To win, you will need to manage your cards and water wisely.","['strategy', 'adventure', 'role playing', 'war']"
193,82222,Xia: Legends of a Drift System,Pilot your ship to stardom in a massive sci-fi sandbox.,7.85,https://cf.geekdo-images.com/6uEBiPxMH8gfGJ6f3HLNGg__micro/img/DQSj2Ayqr-jt9IvF4YrOTCyr5Fg=/fit-in/64x64/filters:strip_icc()/pic1807124.png,https://cf.geekdo-images.com/6uEBiPxMH8gfGJ6f3HLNGg__thumb/img/F_7LgdP3BKQVdrYHfIAoMu12G8c=/fit-in/200x150/filters:strip_icc()/pic1807124.png,https://cf.geekdo-images.com/6uEBiPxMH8gfGJ6f3HLNGg__original/img/p-g0LziOt6tE90cVJUvLZF0exfI=/0x0/filters:format(png)/pic1807124.png,2014,3,5,180,12,"['Adventure', 'Exploration', 'Fighting', 'Science Fiction', 'Space Exploration', 'Transportation']",['Cody Miller'],Far Off Games,3.1745,"Xia: Legends of a Drift System is a 3-5 player sandbox style competitive space adventure. Each player starts as a lowly but hopeful captain of a small starship.
Players fly their ships about the system, completing a variety of missions, exploring new sectors and battling other ships. Navigating hazardous environments, players choose to mine, salvage, or trade valuable cargo. Captains vie with each other for Titles, riches and, most importantly, Fame.
The most adaptive, risk-taking and creative players will excel. One captain will rise above the others, surpassing mortality by becoming Legend!
Customize: Each player begins the game by choosing and customizing a Tier 1 starship. Invest all your money in engines and be a rapid, yet fragile, explorer. Put all your credits into an uber missile and watch other players flee in terror. Get a small engine and save space and credits to invest in buying and selling cargo. Or create a well rounded ship, ready for anything. In Xia, the choice is always yours.
Adapt: The goal of Xia is to become the most famous captain. Completing missions, besting ships in combat, purchasing higher tier ships, selling Cargo Cubes and claiming Titles are all ways that players can earn Fame Points. The best pilots will adapt to their surroundings, making snap judgments and changing plans on-the-fly. If you can think on your feet, you'll do well in Xia!",['strategy']
